Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 LinkedTo,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card
4-Inch Charging Cable,4-inch-charging-cable,Charges your phone as long as you hold it 4 inches from the outlet. Perfect for people who enjoy commitment. USB-C to USB-C. Braided.,Bamazon Labs,Electronics,Electronics,"electronics,cable,usb,gag",TRUE,active,BMZ-ELEC-01,,Title,Default Title,,12.99,29.99,1.50,TRUE,shopify,60,deny,30,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Cable,1,4 inch charging cable,,FALSE
TV Remote (400 Buttons),tv-remote-400-buttons,Controls everything. You will use 3 buttons. The other 397 are for features your TV does not have and never will. Batteries included — wrong size.,Bamazon Labs,Electronics,Electronics,"electronics,remote,tv,gag",TRUE,active,BMZ-ELEC-02,,Title,Default Title,,34.99,79.99,5.00,TRUE,shopify,40,deny,220,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Remote,1,400 button TV remote,,FALSE
Headphones (No Audio),headphones-no-audio,Premium over-ear design. Noise cancelling so advanced it also cancels music. Look like you're listening. You are not listening.,Bamazon Labs,Electronics,Electronics,"electronics,headphones,audio,gag",TRUE,active,BMZ-ELEC-03,,Title,Default Title,,49.99,199.99,8.00,TRUE,shopify,25,deny,280,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Headphones,1,Headphones no audio,,FALSE
Smart Plug (Dumb Device),smart-plug-dumb-device,Requires 14 steps to set up. App needs an account. Account needs a verification code. Code expires. Turns lamp on and off. Your lamp was already doing that.,Bamazon Labs,Electronics,Electronics,"electronics,smart home,plug,gag",TRUE,active,BMZ-ELEC-04,,Title,Default Title,,24.99,59.99,3.00,TRUE,shopify,50,deny,90,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=SmartPlug,1,Smart plug dumb device,,FALSE
Laptop Stand (No Laptop Included),laptop-stand-no-laptop,"Ergonomic. Aluminum. Adjustable to 3 heights: bad, slightly less bad, and one you'll never use. Laptop sold separately by a company that doesn't make stands.",Bamazon Labs,Electronics,Electronics,"electronics,laptop,stand,gag",TRUE,active,BMZ-ELEC-05,,Title,Default Title,,39.99,89.99,6.00,TRUE,shopify,35,deny,450,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Stand,1,Laptop stand no laptop,,FALSE
Colander (No Holes),colander-no-holes,Stainless steel. Dishwasher safe. Holds water indefinitely. Great for displaying fruit or reconsidering your pasta strategy.,Bamazon Labs,Kitchen,Kitchen,"kitchen,colander,cookware,gag",TRUE,active,BMZ-KITCH-01,,Title,Default Title,,22.99,54.99,4.00,TRUE,shopify,30,deny,400,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Colander,1,Colander with no holes,,FALSE
Single-Use Fork,single-use-fork,"Premium stainless steel. Meant to be used once and reflected upon. Dishwasher safe but spiritually, this fork is done. Sold individually.",Bamazon Labs,Kitchen,Kitchen,"kitchen,fork,cutlery,gag",TRUE,active,BMZ-KITCH-02,,Title,Default Title,,8.99,19.99,0.50,TRUE,shopify,200,deny,45,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Fork,1,Single use fork,,FALSE
Knife (Too Small),knife-too-small,"3mm blade. Serrated. Full tang. Cannot cut bread, tomatoes, or tension. Ideal for very small cheeses and garnishes that don't need garnishing.",Bamazon Labs,Kitchen,Kitchen,"kitchen,knife,cutlery,gag",TRUE,active,BMZ-KITCH-03,,Title,Default Title,,16.99,44.99,2.00,TRUE,shopify,45,deny,60,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Knife,1,Tiny knife,,FALSE
Non-Stick Pan (Very Sticky),non-stick-pan-very-sticky,PFOA-free coating that adheres to everything except the non-stick promise. Oven safe to 200°F which is below most cooking temperatures. Hand wash only — it won't help.,Bamazon Labs,Kitchen,Kitchen,"kitchen,pan,cookware,gag",TRUE,active,BMZ-KITCH-04,,Title,Default Title,,29.99,79.99,5.00,TRUE,shopify,22,deny,850,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Pan,1,Non stick very sticky pan,,FALSE
Measuring Cup (No Measurements),measuring-cup-no-measurements,Holds liquid. How much liquid? That's between you and your recipe. Clear plastic. Good grip. Completely unmarked. Cook with confidence or don't.,Bamazon Labs,Kitchen,Kitchen,"kitchen,measuring,baking,gag",TRUE,active,BMZ-KITCH-05,,Title,Default Title,,11.99,24.99,1.00,TRUE,shopify,55,deny,120,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=MeasureCup,1,Measuring cup no measurements,,FALSE
Shirt (One Sleeve),shirt-one-sleeve,100% cotton. Machine washable. One sleeve — the right one. Asymmetric design that says you make choices. Available in S/M/L/XL. Left arm: free.,Bamazon Labs,Clothing,Clothing,"clothing,shirt,apparel,gag",TRUE,active,BMZ-CLTH-01,,Title,Default Title,,27.99,59.99,4.00,TRUE,shopify,40,deny,200,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Shirt,1,One sleeve shirt,,FALSE
Socks (Sold Individually),socks-sold-individually,One sock. Premium cotton blend. Left foot. If you need the right one that's a separate purchase and a separate relationship. Comes gift-boxed.,Bamazon Labs,Clothing,Clothing,"clothing,socks,apparel,gag",TRUE,active,BMZ-CLTH-02,,Title,Default Title,,9.99,19.99,0.75,TRUE,shopify,120,deny,30,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Sock,1,Single sock,,FALSE
Jeans (No Pockets),jeans-no-pockets,Slim fit denim. Five pocket styling — all decorative. Your belongings are your problem. Sits at the waist. Looks great. Holds nothing. Truly nothing.,Bamazon Labs,Clothing,Clothing,"clothing,jeans,denim,gag",TRUE,active,BMZ-CLTH-03,,Title,Default Title,,59.99,129.99,10.00,TRUE,shopify,28,deny,600,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Jeans,1,Jeans with no pockets,,FALSE
Hat (Visor in the Back),hat-visor-in-back,Structured 6-panel cap. Visor faces rear. Sun protection for your neck — statistically the most sunburned area. Adjustable strap. Statement piece.,Bamazon Labs,Clothing,Clothing,"clothing,hat,accessories,gag",TRUE,active,BMZ-CLTH-04,,Title,Default Title,,22.99,44.99,3.00,TRUE,shopify,50,deny,120,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Hat,1,Hat visor in back,,FALSE
Scarf (Summer Weight),scarf-summer-weight,Lightweight merino wool. Ideal for July. Pairs with sunscreen and a look on people's faces. Machine wash cold. 72 inches. You'll find a use for it.,Bamazon Labs,Clothing,Clothing,"clothing,scarf,accessories,gag",TRUE,active,BMZ-CLTH-05,,Title,Default Title,,34.99,74.99,5.00,TRUE,shopify,35,deny,180,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Scarf,1,Summer weight scarf,,FALSE
1 lb Dumbbell Set (Pair),1lb-dumbbell-set,"Two dumbbells. 1 lb each. Neoprene grip. Great for wrist curls, very light groceries, and the illusion of a home gym. Results: minimal. Commitment: implied.",Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,dumbbells,fitness,gag",TRUE,active,BMZ-SPRT-01,,Title,Default Title,,19.99,44.99,2.50,TRUE,shopify,60,deny,900,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Dumbbells,1,1lb dumbbell set,,FALSE
Participation Trophy (Blank),participation-trophy-blank,Gold resin. Marble base. Engraving plate left intentionally empty. For the event. You know the one. Arrives in a felt-lined box. You showed up.,Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,trophy,gag,award",TRUE,active,BMZ-SPRT-02,,Title,Default Title,,24.99,54.99,4.00,TRUE,shopify,44,deny,500,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Trophy,1,Blank participation trophy,,FALSE
Pedometer (Starts at 10000),pedometer-starts-at-10000,"You already hit your goal. Display reads 10,000 steps on startup. The day is yours. Clip to waistband and live freely. Battery lasts 6 months of doing nothing.",Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,pedometer,fitness,gag",TRUE,active,BMZ-SPRT-03,,Title,Default Title,,17.99,39.99,2.00,TRUE,shopify,38,deny,35,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Pedometer,1,Pedometer starts at 10000,,FALSE
Yoga Mat (No Grip),yoga-mat-no-grip,"6mm thick. Extra wide. PVC free. Slides on hardwood, carpet, and most spiritual journeys. Folds flat. Comes with a carry strap for the trip to the donation bin.",Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,yoga,mat,gag",TRUE,active,BMZ-SPRT-04,,Title,Default Title,,32.99,69.99,5.00,TRUE,shopify,30,deny,1100,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=YogaMat,1,Yoga mat no grip,,FALSE
Water Bottle (Leaks Slightly),water-bottle-leaks-slightly,"BPA-free. 32oz. Keeps drinks cold for 24 hours. Lid rated for upright use only. Consistent 2% leak guaranteed to keep you on your toes. Dishwasher safe lid, hand wash bottle — or reverse that, it won't matter.",Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,water bottle,hydration,gag",TRUE,active,BMZ-SPRT-05,,Title,Default Title,,28.99,64.99,4.00,TRUE,shopify,55,deny,400,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Bottle,1,Water bottle leaks slightly,,FALSE
Moisturizer (Just Water),moisturizer-just-water,Hypoallergenic. Fragrance-free. Dermatologist-tested. Active ingredient: H2O. Proprietary formula. pH balanced. Honestly just water in a very nice bottle.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,skincare,moisturizer,gag",TRUE,active,BMZ-BEAU-01,,Title,Default Title,,34.99,89.99,0.50,TRUE,shopify,48,deny,240,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Moisturizer,1,Moisturizer just water,,FALSE
72-Step Skincare Routine (One Bottle),72-step-skincare-one-bottle,Cleanse. Tone. Treat. Essence. Serum. Moisturize. SPF. Repeat x65. All in one pump bottle. Steps 47-72 are emotional. Results visible in 6-8 decades.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,skincare,routine,gag",TRUE,active,BMZ-BEAU-02,,Title,Default Title,,44.99,119.99,3.00,TRUE,shopify,32,deny,280,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Skincare,1,72 step skincare bottle,,FALSE
Dry Shampoo (Wet),dry-shampoo-wet,All the convenience of dry shampoo. All the wetness of regular shampoo. Spray on. Wait. Your hair is now wet. You needed a shower anyway.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,hair,shampoo,gag",TRUE,active,BMZ-BEAU-03,,Title,Default Title,,16.99,38.99,1.50,TRUE,shopify,65,deny,180,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=DryShampoo,1,Dry shampoo wet,,FALSE
Toothbrush (No Bristles),toothbrush-no-bristles,Ergonomic handle. Soft grip. ADA compliant handle design. Bristle zone left open for personal interpretation. Manual. Replace every 3 months or whenever.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,dental,toothbrush,gag",TRUE,active,BMZ-BEAU-04,,Title,Default Title,,9.99,22.99,0.75,TRUE,shopify,80,deny,20,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Toothbrush,1,Toothbrush no bristles,,FALSE
